ISO3,country,bii_mean,bii_logit_mean,bii_logit_se,n_langs,log_n_langs
PRI,Puerto Rico,0.5397636771202088,0.1600362386639925,0.05513920617581982,6,1.791759469228055
QAT,Qatar,1,4.595119850134589,0,2,0.6931471805599453
ROU,Romania,0.6100482821464539,0.4477967230176728,0.025688773856856587,23,3.1354942159291497
RUS,Russia,0.8827155470848084,2.018409214106535,0.002344681354160631,183,5.209486152841421
RWA,Rwanda,0.4999912202358246,-3.9499325245198615e-5,0.02511058082693082,8,2.0794415416798357
REU,Réunion,0.916676139831543,2.398021429980547,0.0011323884048136353,2,0.6931471805599453
MAF,Saint Martin (French part),NA,NA,NA,1,0
WSM,Samoa,0.9520750999450683,3.0849460376987814,0.2583143884976438,1,0
SMR,San Marino,0.5892632484436036,0.3609472958366637,0.008659259523006502,2,0.6931471805599453
SAU,Saudi Arabia,0.6933621287345886,0.8158867414514862,0.001527321224733422,14,2.6390573296152584
SEN,Senegal,0.8273311018943786,1.5689165653962007,0.039894103261290975,47,3.8501476017100584
SRB,Serbia,0.5960686922073364,0.38915901447267615,0.011289601370865737,19,2.9444389791664403
SYC,Seychelles,NA,NA,NA,2,0.6931471805599453
SLE,Sierra Leone,0.5016542732715606,0.006614302270069522,0.021791614751770827,27,3.295836866004329
SGP,Singapore,0.34351996779441835,-0.6476637438936039,0.005157735723513344,8,2.0794415416798357
SVK,Slovakia,0.6767045140266419,0.7389237223254431,0.019170303211598325,13,2.5649493574615367
SVN,Slovenia,0.8041166663169861,1.412267543887777,0.005905763585658831,13,2.5649493574615367
SLB,Solomon Islands,0.956448757648468,3.089404434559817,0.007943129970883683,78,4.356708826689592
SOM,Somalia,0.7246616005897522,0.9677177784567047,0.003930491314836734,12,2.4849066497880004
ZAF,South Africa,0.6174563288688659,0.47889793788699764,0.016867236271456892,45,3.8066624897703196
SGS,South Georgia & South Sandwich Islands,NA,NA,NA,1,0
KOR,South Korea,0.838248348236084,1.6469623859690379,0.03547392184748741,6,1.791759469228055
SSD,South Sudan,0.6121561169624329,0.45640978355032635,0.007531039924021177,88,4.477336814478207
ESP,Spain,0.7026881814002991,0.8601829819838578,0.007944750325964136,28,3.332204510175204
LKA,Sri Lanka,0.6426201581954956,0.5868614427928727,0.013630105561282854,6,1.791759469228055
SHN,St. Helena,NA,NA,NA,1,0
KNA,St. Kitts & Nevis,0.9782617092132568,3.806978678602216,0.012034159067282295,1,0
LCA,St. Lucia,NA,NA,NA,1,0
